date;region;system;route;notes
01-14-2026;FL;usafl;FL321;New route.
01-15-2026;OH;usaoh;OH297;Route deleted.
01-15-2026;CA;usaca;CA153;Route added.
01-27-2026;OR;usaor;OR501;Route added (newly signed).
01-29-2026;IA;usaia;IA165;Route is no longer signed.
01-29-2026;WV;usawv;WV243;Route added (newly signed).
02-02-2026;FL;usafl;FL470;Route deleted.
02-07-2026;SD;usasd;SD249;Route is signed.
02-17-2026;TN;usatn;TN278;Route added (newly signed).
03-02-2026;LA;usala;LA944;Route deleted.
03-04-2026;KY;usaky;KY2528;Route deleted.
03-04-2026;KY;usaky;KY3046;Route added (newly signed)
03-23-2026;GA;usaga;GA404Spr;Route label changed from GA404 to GA404Spr.
03-29-2026;LA;usala;LA3019;Route is no longer signed.
03-29-2026;MB;canmb;MB398;Route is unsigned.
03-29-2026;MS;usams;MS372;Route deleted.
04-06-2026;LA;usala;LA3037;Route deleted.
04-06-2026;LA;usala;LA3102;Route deleted.
04-06-2026;LA;usala;LA3165;Route deleted.
04-16-2026;TX;usatxl;Lp88;New route.
04-21-2026;OH;usaoh;OH702;Route is not signed.
04-21-2026;TX;usatxfs;FS699;Route added.
